Product_id,Product_weight,Product_fat,Product_type,Product_MRP,Product_%discount
161,1.87,3,13,46.51,0
162,1.44,0,22,67.48,
163,3.47,0,2,182.5,5
164,0.82,3,13,266.26,
165,7.54,3,8,229.85,12
166,5.76,2,26,43.33,5
167,5.1,3,11,215.48,12
168,8.66,3,11,96.32,
169,4.69,1,14,51.18,3
170,2.2,0,29,55.3,0
171,9.24,0,27,364.65,
172,9.81,3,18,43.28,6
173,5.02,1,21,259.7,19
174,5.35,0,23,216.36,
175,9.78,3,12,330.09,
176,7.88,3,2,259.57,15
177,1.74,0,27,156.16,13
178,6.53,3,23,114.64,0
179,9.32,3,30,8.44,14
180,5.95,3,1,116.79,
181,0.3,2,13,186.48,7
182,0.97,0,17,17.06,7
183,3.36,2,16,318.83,
184,7.61,2,8,66.21,
185,6.92,3,9,250.31,0
186,3.52,1,20,237.46,2
187,3.91,2,24,243.84,10
188,9.06,2,10,164.16,11
189,9.28,2,26,323.18,14
190,8.49,0,17,68.89,15
191,8.33,3,0,283.03,6
192,7.04,3,18,261.02,
193,4.02,0,16,392.86,0
194,7.31,2,0,79.2,10
195,7.54,2,5,121.81,15
196,7.73,2,28,54.38,
197,6.68,0,16,309.78,20
198,9.66,0,14,371.58,
199,8.75,2,7,313.49,14
200,1.94,2,25,5.98,
201,9.33,1,3,151.44,4
202,3.71,0,5,208.91,
203,8.46,1,24,176.32,13
204,0.68,1,10,123.33,
205,9.73,3,27,100.92,1
206,8.88,3,5,1.58,5
207,9.78,2,4,103.43,16
208,7.37,1,22,4.94,
209,8.08,0,3,39.63,19
210,8.28,1,12,260.06,
211,9.63,0,0,87.85,4
212,0.88,1,4,349.4,2
213,5.91,0,13,253.72,6
214,3.4,0,24,111.72,12
215,0.75,0,1,261.05,15
216,3.71,1,13,129.53,2
217,2.27,3,26,255.16,8
218,7.93,0,29,380.56,6
219,2.89,3,27,45.91,19
220,2.64,0,13,28.99,
221,2.03,2,10,316.08,18
222,5.37,2,0,232.54,14
223,9.77,3,30,123.02,
224,3.98,0,24,344.41,12
225,1.57,1,15,317.9,1
226,4.17,2,28,383.42,
227,4.99,0,30,212.1,
228,0.68,2,11,351.2,
229,6.45,3,24,114.2,12
230,7.15,3,8,272.13,
231,2.4,3,9,66.71,9
232,4.79,3,12,132.74,19
233,6.71,2,27,7.5,15
234,9.21,2,21,196.97,13
235,7.06,2,18,283.04,10
236,1.67,3,3,274.28,19
237,3.86,2,17,340.41,
238,8.29,2,5,216.65,
239,0.63,2,14,323.45,1
240,9.1,2,25,21.2,
241,5.39,2,0,1.12,18
242,4.99,2,11,15.22,5
243,5.7,2,25,353.14,19
244,8.68,0,3,100.16,7
245,1.83,1,7,41.61,1
246,5.56,2,13,330.63,11
247,6.32,0,11,291.57,10
248,1.94,2,29,5.78,19
249,0.24,0,29,211.76,6
250,3.67,2,6,148.35,12
251,6.83,3,26,277.58,18
252,8.01,2,29,350.05,
253,0.71,0,1,206.3,16
254,5.13,0,15,257.6,9
255,6.3,1,30,348.8,
256,7.81,3,6,77.07,3
257,9.6,3,19,226.02,20
258,1.69,2,11,173.21,
259,2.37,2,6,335.05,16
260,8.02,0,2,340.25,2
261,5.51,2,22,253.34,15
262,7.6,2,18,220.21,4
263,9.68,3,28,165.65,16
264,2.04,3,13,45.62,
265,1.52,1,0,241.75,12
266,5.63,1,4,183.48,6
267,8.74,2,16,390.86,
268,1.26,2,0,57.03,
269,0.71,3,22,219.3,7
270,5.37,0,1,320.74,2
271,8.39,0,5,317.84,8
272,2.88,2,20,267.23,
273,8.36,0,12,106.23,
274,1.11,2,24,140.21,18
275,8.92,1,29,359.72,
276,8.27,0,17,132.07,12
277,6.72,0,24,246.48,3
278,2.32,2,13,341.57,19
279,9.55,3,10,399.69,5
280,7.58,2,0,68.68,
281,6.3,0,27,53.79,3
282,3.39,3,18,122.11,
283,5.73,2,21,368.58,3
284,4.99,3,28,318.19,7
285,0.25,3,9,170.89,17
286,6.19,3,9,45.52,12
287,0.95,3,18,36.75,
288,0.31,1,22,272.51,
289,5.23,3,25,343.88,12
290,1.56,3,1,275.98,
291,8.48,3,3,219.64,7
292,1.26,2,23,64.6,
293,5.39,2,29,10.02,0
294,3.74,0,16,375.88,
295,8.18,2,28,398.31,2
296,2.11,2,20,223.18,
297,2.52,1,30,199.17,19
298,4.11,2,15,67.31,12
299,2.14,2,3,153.08,11
300,2.85,0,12,391.86,
301,9.04,0,19,150.71,19
302,7.57,3,16,357.63,7
303,5.64,2,27,211.31,
304,4.58,1,26,111.8,
305,8.52,1,26,42.9,12
306,7.96,3,14,30.17,
307,8.16,1,14,110.12,13
308,5.85,2,25,268.15,
309,7.48,1,25,37.33,
310,6.56,2,0,97.06,
311,8.34,0,7,272.06,6
312,4.98,2,22,201.8,1
313,5.31,1,16,237.09,17
314,9.33,1,20,18.12,10
315,9.14,2,7,295.77,
316,3.24,2,8,283.72,14
317,5.9,2,29,159.21,1
318,7.7,3,8,282.29,
319,7.67,3,7,60.02,
320,4.21,2,7,154.46,
321,6.83,3,16,320.6,
322,7.41,1,17,354.23,13
323,4.68,0,28,241.96,20
324,3.98,1,20,26.98,
325,0.6,0,21,138.97,
326,1.38,3,18,184.14,12
327,8.7,2,15,50.08,5
328,7.32,1,25,54.01,6
329,2.8,2,2,346.71,3
330,0.45,1,6,281.92,7
331,0.42,2,23,370.01,6
332,4.99,0,7,359.3,18
333,3.35,0,30,120.11,6
334,8.2,0,9,155.92,
335,0.65,1,11,125.87,17
336,6.64,0,10,333.1,15
337,4.02,3,6,321.16,18
338,4.16,1,8,114.79,19
339,9.43,3,13,54.05,
340,5.25,0,20,191.2,13
341,8.71,3,24,254.99,11
342,9.6,2,10,234.18,18
343,9.05,1,23,92.5,14
344,7.0,3,21,198.54,20
345,1.06,2,9,140.01,14
346,3.38,3,30,287.24,10
347,6.6,1,28,183.27,11
348,2.58,0,26,156.85,
349,3.47,1,26,292.84,9
350,9.51,3,4,39.09,14
351,1.8,1,8,289.33,8
352,3.94,2,0,156.06,
353,4.68,0,23,27.46,1
354,5.04,2,12,105.19,
355,4.26,1,28,225.49,
356,2.74,1,14,389.97,11
357,8.32,2,7,67.51,1
358,9.52,3,8,374.44,12
359,5.72,2,8,303.15,
360,3.99,0,6,236.17,
361,9.47,1,24,273.81,9
362,4.72,0,28,195.84,3
363,1.66,2,17,189.6,8
364,1.35,1,27,399.29,7
365,3.08,2,21,85.27,
366,6.23,1,12,128.84,18
367,7.65,1,4,180.78,10
368,7.77,1,5,319.46,14
369,9.47,0,3,273.56,17
370,4.95,1,26,258.64,1
371,6.12,0,5,288.56,0
372,7.91,0,5,243.65,
373,3.03,2,30,212.95,5
374,0.99,1,21,75.12,2
375,6.67,0,0,142.04,17
376,5.59,3,17,161.96,19
377,6.43,1,9,62.94,8
378,6.49,1,29,115.42,
379,7.22,2,26,302.39,16
380,2.91,2,18,207.45,
381,8.92,2,13,65.78,10
382,2.28,3,30,371.36,17
383,9.23,3,0,392.67,5
384,5.09,2,18,320.34,
385,0.61,2,3,357.79,
386,1.98,0,28,60.65,4
387,2.99,1,29,240.92,
388,6.42,3,14,176.18,8
389,8.99,3,16,294.97,20
390,0.75,0,7,161.39,5
391,7.11,0,14,237.47,18
392,2.04,0,30,377.72,6
393,4.01,3,23,291.99,5
394,1.73,0,24,112.1,
395,8.69,1,5,306.73,6
396,0.55,2,11,311.71,
397,3.31,3,30,376.11,
398,6.27,3,17,74.53,1
399,7.23,0,23,92.66,5
400,3.07,2,25,68.77,
401,6.48,2,17,54.75,20
402,2.71,0,21,161.11,
403,8.72,1,0,158.15,11
404,2.96,1,5,227.81,16
405,0.79,0,17,96.73,1
406,8.11,3,17,26.56,3
407,4.62,0,16,399.05,0
408,1.43,1,17,104.92,9
409,3.72,3,26,28.63,4
410,9.41,2,0,222.96,1
411,0.11,0,27,271.88,3
412,4.24,0,15,265.26,13
413,8.84,1,10,343.97,8
414,7.05,3,20,319.82,
415,7.34,1,22,235.28,15
416,4.63,1,23,300.2,3
417,7.97,1,21,27.7,0
418,7.67,1,7,387.27,11
419,8.79,0,21,206.26,0
420,6.71,1,11,67.61,
421,5.75,0,7,393.15,3
422,0.32,1,7,44.01,18
423,4.44,0,16,30.03,20
424,5.29,3,28,196.48,1
425,1.75,1,11,235.17,6
426,0.51,3,10,68.58,
427,9.25,0,3,163.81,
428,6.35,1,28,56.16,15
429,4.49,0,11,95.13,7
430,8.69,3,4,375.73,17
431,5.74,1,21,375.22,6
432,3.81,1,24,188.58,
433,3.04,3,7,241.5,2
434,6.67,2,5,156.19,
435,5.24,3,22,254.29,
436,6.88,2,26,205.69,12
437,0.35,2,12,164.12,18
438,7.08,1,17,379.96,1
439,4.89,2,11,139.36,15
440,3.95,0,17,349.97,
441,4.13,3,10,182.02,
442,2.32,0,3,65.28,17
443,3.84,0,14,257.63,20
444,6.65,1,11,119.82,19
445,0.18,3,15,166.05,
446,6.01,1,17,109.65,11
447,4.24,0,15,279.49,12
448,0.9,0,11,158.18,3
449,2.16,0,4,374.94,13
450,3.85,2,18,86.76,5
451,2.1,0,5,286.7,10
452,7.72,1,11,6.17,
453,4.57,2,30,206.08,3
454,6.96,2,8,206.19,
455,2.66,0,12,154.97,6
456,1.57,2,24,319.8,
457,2.31,3,11,259.44,4
458,4.62,2,12,237.89,10
459,5.72,2,11,350.26,
460,7.73,2,19,151.86,18
461,2.49,2,20,316.62,18
462,9.64,0,6,0.34,9
463,5.62,1,7,339.72,8
464,7.73,1,28,296.44,12
465,3.81,1,11,233.18,7
466,3.21,1,18,12.77,13
467,0.77,1,2,15.98,3
468,4.03,0,30,99.1,17
469,7.92,0,10,345.24,
470,1.93,2,10,111.91,
471,7.97,2,29,335.64,8
472,1.63,3,10,329.63,6
473,8.1,1,1,390.44,16
474,4.6,2,17,232.26,
475,7.05,1,29,172.85,20
476,0.41,2,2,320.22,6
477,9.95,2,3,342.49,0
478,1.81,2,22,350.69,
479,9.03,2,16,385.06,14
480,3.42,2,20,366.5,
481,9.7,0,23,160.14,19
482,3.87,3,24,195.08,6
483,5.25,0,16,94.84,
484,6.25,2,6,393.45,14
485,4.43,0,8,249.86,13
486,2.8,0,6,116.77,
487,0.32,3,15,183.94,16
488,2.28,1,22,285.07,3
489,9.42,0,11,43.28,9
490,2.2,1,7,127.57,
491,5.2,3,22,203.07,3
492,8.62,1,22,78.05,16
493,8.44,1,1,87.6,11
494,0.99,1,8,100.46,16
495,5.34,0,25,94.49,
496,8.94,3,13,219.59,0
497,0.26,2,21,251.19,11
498,5.42,0,3,134.38,4
499,7.63,3,2,129.2,5
500,6.1,0,20,89.57,19
501,7.8,0,25,242.57,15
502,4.83,0,25,83.26,
503,3.03,1,5,58.29,13
504,1.61,3,11,186.04,
505,5.31,1,21,243.5,2
506,5.38,3,0,48.88,12
507,8.07,2,0,77.99,
508,5.58,1,19,175.64,12
509,6.15,3,23,256.4,14
510,7.75,2,24,37.98,4
511,2.16,3,22,209.07,18
512,3.26,1,6,207.43,9
513,9.26,1,10,365.65,
514,3.23,2,20,183.35,16
515,3.22,1,3,290.29,20
516,1.66,1,1,91.17,16
517,7.16,0,3,113.11,10
518,2.85,0,6,129.11,
519,9.34,1,20,385.68,13
520,2.86,3,30,139.31,
521,1.22,2,7,387.16,13
522,5.65,2,12,179.68,
523,9.62,2,21,206.2,14
524,8.1,1,7,273.53,
525,9.12,0,30,27.01,
526,10.0,1,16,13.39,1
527,9.36,1,16,145.02,13
528,7.83,3,17,394.92,2
529,0.32,1,18,139.3,19
530,3.6,0,21,359.41,
531,5.72,0,30,127.47,5
532,2.59,3,19,218.41,17
533,2.03,1,4,330.62,3
534,6.4,3,24,239.87,14
535,7.45,3,7,74.56,19
536,9.86,0,28,370.99,4
537,4.43,1,17,252.88,17
538,3.16,2,14,374.47,8
539,5.01,2,7,180.7,0
540,2.7,3,24,154.73,
541,6.71,1,7,262.89,0
542,8.09,1,3,150.8,9
543,4.68,2,4,5.71,0
544,2.72,0,21,172.72,
545,0.92,1,4,196.55,13
546,9.26,3,29,357.25,
547,3.0,1,15,180.27,8
548,5.75,2,18,20.31,3
549,7.57,0,19,56.54,0
550,5.47,1,18,281.43,
551,5.56,1,4,126.42,17
552,2.52,3,11,39.3,
553,9.46,3,21,14.32,1
554,2.05,1,27,171.23,1
555,5.82,3,12,391.0,
556,0.36,1,10,137.09,2
557,6.55,3,7,326.14,7
558,0.25,0,29,60.98,
559,8.31,2,22,194.28,2
560,1.18,2,28,269.3,
561,8.61,2,28,163.45,17
562,4.81,2,5,361.1,
563,1.95,3,1,391.36,3
564,0.4,0,4,386.74,
565,0.45,3,19,356.37,4
566,5.36,1,14,12.49,
567,7.47,3,26,49.23,
568,1.53,3,27,46.4,6
569,3.37,0,11,252.68,19
570,5.82,1,11,3.67,7
571,5.65,2,28,36.1,0
572,2.12,3,15,286.01,19
573,0.22,3,26,89.49,15
574,7.64,1,16,53.61,2
575,8.94,1,21,226.39,7
576,5.41,3,29,363.98,
577,6.21,3,4,279.8,14
578,1.56,2,6,257.43,17
579,4.0,1,8,118.98,11
580,3.2,2,1,361.8,
581,3.33,0,18,213.15,5
582,2.33,0,20,296.79,18
583,7.89,0,18,269.28,
584,4.28,3,13,251.54,19
585,0.7,1,17,369.6,3
586,2.74,1,30,13.97,9
587,5.21,1,18,336.2,17
588,4.43,3,7,27.05,
589,8.1,3,26,348.74,6
590,0.41,0,26,349.89,14
591,8.65,1,11,342.38,12
592,1.92,2,9,299.15,19
593,6.65,2,2,211.93,11
594,3.22,2,10,47.36,
595,0.53,2,29,149.0,0
596,4.05,2,26,355.48,13
597,0.95,0,2,139.04,5
598,8.59,3,27,316.27,
599,7.65,1,9,144.23,0
600,9.97,3,29,283.44,2
601,9.12,0,21,199.25,14
602,0.89,2,14,65.3,14
603,7.66,2,27,146.3,16
604,4.35,0,20,157.9,17
605,5.4,2,30,35.88,4
606,1.98,3,17,295.33,14
607,8.33,2,1,320.03,15
608,6.37,2,9,92.77,10
609,8.7,0,24,264.89,15
610,1.25,3,24,259.06,9
611,7.82,0,15,307.95,14
612,1.05,3,2,156.63,
613,4.89,0,18,188.34,18
614,8.08,2,26,382.9,5
615,9.02,0,5,374.98,10
616,5.05,2,15,352.48,17
617,5.0,0,26,20.83,3
618,3.65,2,13,154.24,14
619,4.08,3,27,367.59,12
620,4.8,1,30,61.58,5
621,6.68,0,8,230.66,
622,5.18,1,13,371.69,8
623,3.05,1,16,286.83,9
624,9.46,0,25,350.76,
625,2.31,0,2,195.28,10
626,9.81,3,25,360.64,15
627,2.98,3,9,275.38,15
628,5.77,1,26,145.24,
629,9.23,2,10,369.88,9
630,1.37,3,14,351.55,
631,1.21,3,0,218.84,6
632,8.04,1,19,63.58,17
633,7.99,0,6,171.16,1
634,5.1,2,27,23.34,
635,8.46,0,25,360.86,6
636,9.99,3,2,118.36,
637,1.74,0,11,174.04,7
638,7.22,1,13,209.98,16
639,7.14,0,4,332.66,10
640,1.96,1,5,280.02,
641,3.49,0,2,23.51,17
642,1.71,3,1,372.22,12
643,8.45,1,4,396.1,19
644,8.9,3,28,105.13,14
645,5.77,3,2,259.62,
646,0.95,0,27,32.41,
647,5.17,3,13,301.4,16
648,5.55,2,19,28.28,
649,7.04,3,13,257.41,9
650,5.14,0,10,373.35,
651,3.48,1,12,358.37,
652,0.88,3,20,118.64,10
653,0.55,3,0,80.01,8
654,5.03,1,8,202.58,6
655,9.92,0,6,122.29,2
656,9.69,0,25,100.27,
657,0.19,3,15,46.32,11
658,2.82,0,30,78.67,13
659,8.12,3,3,93.13,14
660,5.31,1,29,36.34,
661,9.09,1,29,212.82,
662,6.83,3,15,3.27,
663,9.6,2,3,229.56,18
664,7.0,0,0,277.61,18
665,5.29,0,22,369.23,
666,4.9,1,4,76.39,18
667,5.27,1,30,276.67,7
668,9.84,1,20,75.26,13
669,8.74,0,6,348.27,3
670,0.55,2,22,316.01,
671,0.78,1,17,107.65,
672,9.67,2,8,256.82,
673,7.09,1,21,49.47,7
674,8.16,0,4,241.79,6
675,2.12,1,13,279.55,
676,9.22,3,4,167.58,18
677,2.38,0,8,176.88,1
678,1.92,3,14,22.41,0
679,5.9,1,9,203.66,13
680,0.4,1,21,274.58,8
681,5.5,1,13,291.52,2
682,2.06,1,0,187.44,18
683,9.18,1,29,128.99,5
684,7.02,3,13,235.95,15
685,3.21,3,9,377.06,9
686,5.98,0,23,103.47,13
687,4.13,2,9,340.59,1
688,4.68,1,24,233.31,
689,1.53,2,11,120.03,1
690,7.0,1,8,213.4,12
691,2.16,3,12,171.84,12
692,9.93,0,8,168.91,
693,2.09,1,8,103.7,
694,6.74,2,17,240.84,5
695,3.31,1,1,230.15,18
696,7.09,3,5,126.45,
697,5.46,3,0,316.69,
698,6.05,0,3,357.79,0
699,4.99,0,6,37.74,12
700,4.68,2,6,296.11,
701,6.68,3,24,175.21,1
702,9.41,1,30,316.87,11
703,5.47,2,27,85.47,
704,8.72,0,14,163.84,
705,7.97,1,20,258.98,
706,7.94,0,2,347.25,6
707,7.11,0,27,101.64,1
708,6.82,1,0,364.0,
709,3.86,2,4,362.11,12
710,5.5,1,9,15.05,20
711,4.5,1,8,134.13,17
712,7.81,1,5,197.24,
713,3.18,2,24,57.45,6
714,3.63,2,13,47.17,
715,1.96,2,6,247.0,4
716,3.01,2,10,211.04,7
717,3.83,3,7,374.68,
718,9.81,0,25,120.1,18
719,6.13,2,22,231.11,19
720,2.76,0,18,45.64,
721,4.28,2,13,393.72,
722,4.5,0,28,11.99,19
723,8.23,0,16,328.56,10
724,4.69,3,14,142.97,9
725,7.49,1,17,150.74,
726,0.87,1,10,318.91,11
727,0.88,3,18,371.6,2
728,7.38,3,21,320.46,
729,2.22,0,29,58.93,
730,3.85,0,1,135.89,14
731,4.39,1,7,335.21,5
732,5.29,0,19,208.44,7
733,5.97,0,25,243.51,2
734,2.49,3,2,300.66,13
735,8.75,0,24,104.01,7
736,9.33,2,30,151.49,2
737,6.14,3,21,390.56,
738,0.26,2,23,3.11,
739,4.37,1,3,252.89,4
740,9.1,3,4,374.3,
741,2.46,0,18,309.82,7
742,9.34,0,16,157.1,1
743,7.62,2,5,42.49,17
744,0.31,1,13,211.53,
745,6.99,3,27,211.56,6
746,3.65,3,20,138.02,15
747,6.96,0,8,27.51,5
748,3.36,2,18,1.15,9
749,6.8,2,17,97.78,3
750,4.15,0,30,83.02,17
751,2.73,0,1,280.21,5
752,8.65,3,9,242.41,15
753,3.06,0,25,67.2,9
754,4.16,3,30,156.0,1
755,7.17,2,28,27.69,14
756,1.97,0,19,218.14,
757,2.86,3,22,134.49,20
758,7.05,1,16,176.68,16
759,9.48,0,5,102.35,20
760,5.8,3,30,280.06,
761,8.24,1,13,163.47,1
762,3.0,3,17,213.41,
763,9.92,2,13,7.96,14
764,2.7,0,24,399.21,12
765,7.47,1,13,114.35,
766,8.63,0,21,340.26,1
767,9.08,1,20,198.37,8
768,3.29,0,6,379.96,
769,3.22,1,1,5.05,17
770,6.08,1,30,158.26,
771,6.77,3,26,171.35,5
772,6.21,2,21,337.99,
773,3.17,3,9,186.59,15
774,4.39,2,3,280.2,5
775,5.64,1,6,175.62,7
776,3.7,1,13,42.71,18
777,8.12,0,21,132.79,16
778,0.34,0,8,380.34,11
779,4.52,0,3,332.51,16
780,7.85,3,5,123.18,4
781,2.06,3,1,343.37,19
782,2.09,3,15,7.5,14
783,6.5,0,5,171.73,20
784,3.63,1,3,138.91,
785,8.99,0,11,362.02,
786,1.9,3,10,361.99,9
787,6.78,3,5,380.47,19
788,1.87,0,17,113.93,19
789,3.31,1,18,307.66,
790,1.73,0,5,38.07,
791,5.11,2,14,167.77,
792,9.03,1,9,135.26,15
793,5.63,2,16,120.36,
794,7.64,1,19,128.16,12
795,8.0,3,22,41.58,18
796,7.88,0,14,215.49,8
797,2.59,1,24,320.92,17
798,7.85,0,2,93.41,11
799,5.92,0,30,200.97,
800,3.46,0,27,219.39,16
801,2.47,2,14,85.2,
802,8.67,2,10,196.72,16
803,9.68,3,6,342.06,8
804,0.75,1,9,54.47,11
805,3.99,3,19,31.31,
806,4.59,2,9,300.71,9
807,2.28,0,3,277.76,19
808,7.99,1,0,325.54,12
809,1.9,1,17,322.08,0
810,6.25,1,7,29.37,
811,9.42,1,8,371.7,
812,1.46,1,5,54.02,0
813,4.72,1,0,281.13,
814,2.57,0,0,93.55,19
815,6.28,0,17,386.56,13
816,4.97,0,18,59.93,14
817,0.16,2,14,122.58,7
818,0.54,3,28,181.36,18
819,2.32,1,5,146.01,17
820,2.09,1,8,209.48,
821,2.07,2,24,195.38,5
822,9.09,1,3,11.79,11
823,1.94,1,20,210.78,11
824,2.79,0,13,325.77,12
825,5.4,2,5,341.67,8
826,1.59,1,20,152.52,1
827,4.64,2,23,369.2,15
828,2.14,1,14,163.81,
829,2.89,0,17,368.94,5
830,0.69,3,30,2.43,1
831,9.67,0,0,141.46,7
832,4.26,2,24,249.4,
833,8.79,0,13,236.35,16
834,3.17,3,11,337.1,20
835,0.77,2,7,297.56,10
836,7.79,1,5,182.68,
837,5.75,1,26,155.07,
838,7.23,2,12,219.76,10
839,4.79,0,3,390.38,12
840,7.01,3,23,204.93,
841,7.56,1,25,2.93,19
842,8.65,1,23,74.7,2
843,1.56,3,3,101.82,7
844,3.94,1,23,230.12,
845,5.5,3,28,252.69,0
846,0.3,0,2,325.96,
847,6.78,0,28,203.14,5
848,6.49,2,18,140.07,9
849,0.85,1,28,215.06,11
850,9.81,1,10,199.97,
851,6.1,0,28,130.18,3
852,7.84,1,14,343.81,3
853,0.19,0,21,194.87,5
854,2.03,2,17,91.34,
855,2.76,0,12,371.44,
856,1.37,1,5,1.38,
857,7.79,1,12,162.04,2
858,7.73,2,7,93.76,
859,5.61,0,29,271.38,18
860,6.5,2,21,310.58,18
861,0.54,3,21,336.27,
862,8.2,2,0,94.5,
863,2.01,0,1,246.68,12
864,1.43,3,5,259.56,20
865,8.93,1,24,286.07,17
866,6.45,3,11,32.94,10
867,9.6,2,9,217.5,
868,5.38,3,24,241.59,12
869,2.28,1,3,341.35,9
870,2.91,2,27,123.2,1
871,4.09,0,20,52.31,19
872,8.27,3,28,135.24,12
873,8.85,0,22,320.66,1
874,9.12,2,18,41.07,
875,5.18,2,16,226.71,17
876,0.46,2,29,47.92,10
877,0.49,3,18,172.07,13
878,5.53,3,20,74.48,6
879,8.77,2,19,96.92,13
880,8.32,3,4,323.76,
881,2.32,3,4,328.2,17
882,6.71,2,6,38.71,
883,7.97,1,16,386.29,2
884,2.16,1,7,215.74,3
