Product_id,Store_id,Sale_date,Sale_amount
2998,78,6:6:1983,3
3369,47,8:9:1985,7
2818,209,22:5:1979,41
2537,221,30:9:1967,11
4811,88,3:12:1952,10
3968,90,26:6:1996,29
2966,168,7:9:1978,6
2914,59,20:10:2018,31
783,164,21:11:1983,46
936,210,11:8:2017,2
2341,11,15:10:1959,23
4689,76,23:4:1988,29
1380,90,7:10:1996,25
3388,10,4:8:2009,16
1277,81,21:8:1933,8
1209,198,17:11:2003,19
1074,35,1:5:2011,11
3191,204,30:8:1950,9
2414,165,3:4:2002,4
5060,17,17:4:1987,31
3653,80,29:4:2014,31
3198,17,4:2:2004,36
869,106,3:9:2012,6
864,120,15:4:2010,39
991,80,15:4:2009,19
2399,106,15:12:1912,10
463,95,1:1:1944,1
800,78,4:1:1974,6
2933,168,4:6:1954,0
3667,95,2:2:2008,29
2607,90,26:7:1967,16
2540,148,24:9:1990,10
2085,194,19:4:2018,27
4175,69,26:2:2010,11
2685,127,28:12:1954,19
2439,231,23:12:1998,22
4395,73,10:7:2009,41
1379,232,26:8:1955,21
2295,64,30:4:2002,27
1008,36,22:12:1997,46
683,105,22:1:1980,29
4821,49,20:3:2017,39
645,43,30:7:2016,31
1376,182,26:8:1957,2
4380,81,3:11:1979,1
4581,46,2:10:2008,45
197,225,24:7:2012,6
1719,59,30:3:2015,8
2551,145,25:2:1986,31
3013,142,3:12:1979,41
599,106,13:2:1962,10
2868,212,15:11:2011,29
3001,142,17:11:2008,4
1590,188,28:1:2012,16
1463,156,21:10:2017,34
2440,27,8:5:2009,6
4171,99,23:5:2017,1
1158,33,20:2:1995,16
4184,227,20:2:2005,21
4238,29,10:9:1971,1
2941,192,12:3:2004,12
2057,4,11:10:1997,30
3106,160,15:3:1994,0
4949,15,17:12:2012,36
2828,196,29:4:1961,10
1796,139,1:12:2016,1
3016,44,21:5:2004,21
3842,123,7:7:1978,10
3760,196,16:8:1985,36
3684,216,17:5:2014,26
1421,36,29:10:1960,16
1090,210,6:2:2017,11
427,27,5:5:2006,11
3986,231,11:1:1986,11
329,4,10:4:2012,3
2922,128,1:12:2018,6
863,17,14:1:1915,31
1581,68,12:2:2011,14
2434,61,2:4:1990,29
5005,133,16:3:2003,61
4396,190,25:4:2009,3
1209,79,3:6:2004,4
3357,40,15:11:2018,20
2482,56,11:2:2003,5
830,150,25:4:1937,29
4243,186,14:3:2014,28
4001,98,14:5:1997,6
4371,164,4:9:2015,11
3531,29,25:11:1990,9
4680,207,2:7:2016,15
2009,184,9:9:1980,36
2039,196,7:5:2004,5
2660,209,30:5:2000,29
4624,27,19:3:2002,17
3868,2,5:2:2016,46
1716,184,16:10:1954,39
1428,108,18:12:2014,24
3211,79,24:5:2014,14
2010,98,7:6:2016,36
1671,128,13:6:1923,24
1679,41,30:9:1924,26
2325,156,25:8:2011,2
2915,172,2:7:1986,13
2697,189,26:1:2003,30
970,116,21:10:1995,25
4232,212,22:12:2003,11
2229,156,1:7:1980,21
4925,93,17:12:1951,1
2715,100,14:7:1984,13
2110,230,25:9:2006,16
4406,205,7:9:1970,46
704,165,5:4:2004,6
4450,42,4:11:2000,23
3728,159,11:2:1990,6
4664,110,27:11:1990,34
4397,158,21:6:2011,0
363,176,20:2:1952,18
380,155,24:7:1966,19
1735,204,21:3:1948,30
1497,2,13:10:1984,10
2079,204,4:10:1993,11
94,204,10:9:1996,7
3508,141,15:9:2001,14
842,77,18:1:1989,27
2082,165,5:8:2015,16
4968,135,5:3:1940,31
4105,40,5:4:1982,40
2633,102,23:9:1997,11
1293,154,21:10:2018,21
270,19,3:12:1973,11
3718,80,3:2:2013,36
331,166,29:9:1978,23
2812,88,13:4:1915,11
5074,219,7:1:2003,15
4246,224,27:3:2015,4
3773,93,22:11:1993,1
4777,146,15:4:2004,5
3767,81,9:10:2001,14
3115,77,15:10:1966,20
1361,154,13:4:2018,16
1104,168,22:7:2003,3
293,146,24:1:2018,15
3441,121,31:9:1996,3
918,153,14:4:1999,15
2236,187,11:8:2016,12
4894,191,4:4:1974,17
2173,76,14:11:2007,0
1070,212,10:1:1974,1
2073,212,10:5:1971,46
4290,55,30:2:1950,21
4119,50,10:5:2018,4
2922,93,25:2:1994,6
873,106,30:11:1964,19
4304,104,22:10:2014,9
1236,162,10:3:1999,36
4621,95,15:10:2007,41
4565,83,20:5:1975,35
696,157,31:8:2010,0
4360,42,24:2:2007,3
180,186,15:11:1988,46
998,127,4:5:1953,21
4543,126,11:10:2009,13
2376,214,30:1:1911,20
1394,125,20:5:1927,16
4996,129,14:7:2013,30
4135,133,23:4:1991,21
3844,152,28:6:1993,1
2666,179,7:2:2018,3
2238,111,4:3:2014,4
3341,100,28:10:1965,11
4698,14,5:8:2008,16
4113,232,24:5:2012,40
3769,119,9:8:1946,31
3375,10,7:4:1961,51
2844,9,31:12:1994,29
3049,35,2:1:1984,51
41,226,13:5:1985,4
4940,213,31:5:1983,4
5017,138,29:5:1985,12
4284,148,2:9:1969,32
4438,11,10:2:1972,11
1791,87,10:6:2007,26
883,101,26:6:2009,27
909,221,18:11:1954,3
3548,30,17:5:2018,36
1254,131,1:5:2010,11
3093,63,11:8:1989,15
1778,154,23:6:2015,37
1482,139,12:2:2018,4
2602,102,9:12:1989,31
4922,17,5:6:1942,1
1705,26,30:6:1946,5
3155,41,28:1:1942,51
425,64,31:9:2006,1
3769,172,11:7:1985,15
2978,141,2:12:1994,28
2572,133,19:8:2009,11
2719,162,29:2:2005,36
4517,36,7:8:1925,20
924,189,13:9:1981,35
880,186,2:12:1986,31
3078,231,6:4:1968,10
2442,112,31:4:2013,46
3632,176,25:9:1977,11
2468,216,20:2:2016,39
2920,21,22:5:2018,21
3771,142,6:10:1983,1
4220,26,30:6:2005,35
29,112,19:8:2018,1
2231,35,29:7:1972,18
1619,88,8:11:1964,11
1430,197,18:8:1973,18
384,59,15:11:2015,33
4697,178,24:8:1947,9
3581,11,15:1:1913,11
2138,10,22:4:1990,9
3332,144,5:8:2015,0
2323,29,16:6:1972,44
4485,116,26:9:2001,28
487,78,26:3:1970,26
3340,117,11:9:1971,5
4323,90,15:2:2003,5
817,11,12:10:1983,6
522,167,21:5:2001,26
5096,82,15:6:2004,40
2704,89,24:10:2008,50
1062,2,7:4:1960,1
823,134,28:12:1927,21
2059,130,7:2:1908,18
874,194,11:9:2018,10
1678,13,2:5:1994,21
2350,101,10:8:1993,12
3941,83,7:5:1941,29
4219,89,9:4:2011,5
2960,41,26:12:1958,23
1855,192,29:2:1987,0
1774,211,26:6:1986,11
3696,219,1:8:1921,36
3130,70,20:7:1919,27
1939,166,1:3:2002,9
2376,163,30:11:2017,29
2962,159,4:8:2013,15
1102,70,1:4:1906,6
706,78,15:8:2007,1
985,174,6:2:1994,15
4999,47,13:1:1958,30
2050,142,26:4:1980,14
4884,156,24:1:2010,24
4625,216,11:4:2014,9
1198,22,27:1:2011,21
2838,42,27:4:2001,33
3626,139,26:8:2016,1
1264,41,10:1:1954,11
3905,66,21:10:2002,20
3506,170,29:12:2004,14
1258,186,6:12:2014,26
5022,224,19:12:2016,36
2607,113,20:6:1996,19
4109,201,25:9:1976,15
394,145,6:12:2001,28
2099,42,2:1:1997,16
4334,157,27:7:1979,4
4379,81,7:6:1971,1
2628,10,4:7:1964,8
641,11,29:7:1944,51
3567,138,8:2:1976,13
4994,194,10:4:2018,16
145,178,20:7:1934,41
4352,49,31:6:2004,16
3036,4,1:1:2011,21
3169,171,31:3:1977,17
1021,143,11:4:2000,9
324,85,9:4:2017,20
883,51,15:10:1993,28
3827,5,28:7:1993,4
455,153,3:8:2006,14
3852,99,10:1:2017,27
1288,232,5:4:1922,50
3127,188,27:2:2011,6
1662,139,28:6:2016,3
2734,206,24:9:2012,24
1326,55,30:10:2005,26
3380,95,5:11:1955,1
5064,217,5:8:2000,24
951,231,4:2:2005,10
1955,109,26:9:2013,51
2156,5,7:10:1994,16
3345,114,24:11:2014,51
72,37,19:3:2001,26
1875,209,5:8:1987,1
3118,127,9:12:1977,4
4672,4,7:12:1975,21
1739,148,13:6:2005,8
2850,188,30:7:2017,22
923,178,20:6:1988,1
1661,44,15:6:2007,4
4366,168,8:7:1937,14
2948,178,13:2:2001,4
3758,68,18:2:2004,14
4816,53,29:8:2016,35
2146,40,27:4:1995,40
1896,200,12:4:2008,7
1660,76,6:6:2018,1
1309,69,19:9:2011,24
1043,13,2:2:2001,9
4609,70,19:7:2011,31
3856,43,3:7:1982,4
756,206,29:12:2011,13
3663,74,13:2:2005,28
1533,164,10:12:1956,28
48,119,31:8:2007,20
456,56,31:11:2002,14
2958,35,8:11:1997,46
3737,151,2:9:2011,26
4819,189,14:1:2017,51
2978,17,9:5:1979,28
1646,175,7:4:1984,41
158,3,27:5:2018,2
3945,196,19:11:2006,24
3087,14,9:2:1992,6
529,88,3:12:2017,16
2527,63,2:8:1979,2
4901,126,5:7:1947,29
3873,65,20:4:2000,21
3760,136,27:3:2014,38
1651,189,13:5:1989,6
2510,31,23:12:1950,16
1249,203,22:1:1999,9
4552,3,1:12:2001,15
1162,185,2:12:2010,35
81,221,18:11:2010,1
2135,89,6:5:2007,18
4374,1,7:10:1997,5
1602,120,29:10:1996,16
4437,49,4:5:2012,9
2426,177,15:11:1991,4
2964,147,24:1:2010,29
4403,128,25:10:1941,61
3323,122,26:1:1995,4
1147,35,19:12:2009,16
4834,171,24:12:1975,13
1011,27,14:3:2000,31
3893,86,22:8:2005,36
3982,66,18:12:1995,16
2486,109,7:2:2018,20
1544,14,12:3:2007,11
3177,122,9:2:1974,16
4534,137,27:11:1986,15
2157,98,14:7:2001,19
1814,123,28:3:1987,51
2279,63,7:3:2018,18
1203,176,11:6:2009,17
4946,209,10:5:1970,46
2433,13,22:10:2003,14
4267,37,16:8:2018,18
1188,231,3:4:1989,20
4359,94,2:6:1976,36
2715,146,7:12:1994,13
1350,128,3:6:1995,10
3591,79,9:5:1988,11
1372,101,2:6:1990,17
1163,64,6:9:2016,10
2362,95,4:12:1981,41
2010,214,8:6:2011,26
1221,21,11:10:2017,51
2405,210,8:1:2017,16
2179,18,8:11:2016,1
4220,129,4:12:2006,28
3467,55,9:5:2013,3
2533,89,17:11:2006,36
2286,17,24:10:1951,22
4273,201,10:8:2017,12
3213,14,17:3:2014,7
2701,94,17:4:1994,14
4705,65,20:3:2007,16
2858,24,29:6:1985,26
2872,54,15:7:1999,31
822,227,13:6:1949,50
418,32,8:2:2016,41
257,123,13:4:1992,6
2780,199,21:11:2018,20
2856,232,28:12:1977,25
4265,206,27:11:2014,31
735,47,12:1:1959,29
1299,80,2:12:2012,26
2917,193,26:6:2002,21
2879,35,4:1:1995,29
216,110,11:12:1985,5
4080,174,21:1:1998,21
2515,26,7:11:1949,19
1583,21,23:3:2015,7
1917,9,26:8:1972,30
2110,149,5:1:1968,14
3840,173,8:3:1975,31
2770,137,16:11:2017,28
489,220,17:11:2002,2
4108,11,23:11:1946,9
3067,184,6:7:1953,5
1014,135,4:3:1952,51
3462,183,10:10:1958,25
4940,9,3:10:1993,11
3004,169,13:6:1977,4
4933,16,13:2:2018,29
888,209,28:12:1972,16
1253,131,31:11:1941,16
3039,123,31:11:1995,6
875,160,24:6:2006,4
3367,188,30:12:2013,2
3097,13,31:12:2018,14
2281,64,17:4:2012,26
112,14,28:1:2015,41
1546,118,29:9:2017,4
3806,229,21:9:1968,36
4666,215,6:11:2017,16
2423,137,26:1:2011,26
3086,204,30:9:2006,50
714,206,21:12:2010,18
2048,61,28:4:1995,22
3259,186,18:1:2015,26
2428,62,13:9:1992,16
886,80,2:6:2005,28
2119,173,15:11:1981,2
453,103,2:11:1993,27
2258,215,16:4:2008,4
2021,67,19:1:2014,16
2930,210,16:4:2018,36
1251,123,14:10:1985,6
4844,156,3:1:1984,36
1887,43,31:9:1965,1
1246,144,7:7:1991,1
2464,168,4:7:2010,11
2125,202,7:7:2006,20
4195,202,13:9:2005,46
2866,89,25:7:2006,35
2264,71,17:2:2010,3
2109,49,3:9:2000,7
3090,170,3:5:2008,9
4813,36,7:5:1973,18
2994,84,23:11:1995,31
2795,21,10:1:2018,26
438,18,31:11:2001,31
4637,221,5:8:1972,1
3898,220,31:7:2017,23
3322,178,31:11:1994,5
4837,14,19:3:2008,26
3366,161,14:11:1979,23
3888,56,2:6:1945,6
3207,37,25:5:2013,6
797,17,27:1:1948,9
4522,152,24:4:1992,9
4702,218,21:4:1962,29
1883,47,10:1:1986,34
3147,205,12:4:2012,31
1767,3,12:5:1991,4
1059,52,23:11:1981,35
581,227,11:4:1965,28
2877,142,28:6:1990,11
1619,133,5:11:2002,17
566,37,26:12:2013,10
4787,124,20:2:1997,6
4050,69,31:8:2013,41
1471,196,30:1:2010,6
5103,189,4:2:1998,40
1578,169,12:1:2015,14
797,112,31:4:2015,1
659,223,30:11:2012,40
1132,198,22:9:1929,8
592,115,15:9:2003,46
1112,76,6:11:1981,21
201,47,25:4:1958,9
169,51,4:8:1983,9
4912,20,16:11:1996,16
1581,173,25:3:1971,34
3680,80,10:10:2011,56
4311,146,12:9:1980,2
3151,199,21:4:2018,10
572,65,28:11:1994,31
4696,78,9:6:2016,29
4619,220,13:7:2009,14
2803,227,1:1:1975,50
1191,139,15:7:2008,33
2342,186,8:11:1976,46
5111,169,11:3:2001,12
1632,73,28:10:2005,21
4548,108,5:11:2007,23
3255,68,15:10:2011,1
1581,213,26:5:1983,34
2504,212,12:4:2007,16
2651,201,11:12:1960,19
183,72,14:8:1966,19
2018,168,23:9:1981,23
4500,118,30:12:2007,41
3653,129,28:4:1980,21
2362,99,28:1:2018,31
2785,39,29:4:1924,15
3588,62,13:11:2002,26
203,133,20:9:1990,16
334,229,18:4:1985,11
3871,197,17:10:1976,10
837,78,11:6:1968,30
4533,88,26:11:1970,1
1274,142,24:10:1996,28
2163,151,18:8:2004,31
1817,79,23:5:2014,31
4326,182,15:8:1964,6
3368,18,2:2:1995,4
4195,1,9:9:2007,41
1620,13,29:2:1992,34
3290,135,1:8:1956,1
579,39,1:7:1964,31
1208,91,9:11:2000,19
3793,143,3:9:1988,24
402,162,12:2:2005,14
2645,187,16:3:1964,26
4191,8,7:12:2008,36
4821,133,3:11:1995,46
351,4,12:7:1998,10
2674,217,9:4:2006,36
5093,227,26:2:1945,0
3044,17,1:4:1939,4
454,65,27:12:2000,31
4317,210,6:3:2018,26
2432,194,23:9:2018,11
1796,184,13:2:1908,19
3688,159,21:2:2009,11
2324,157,8:7:2014,41
4242,149,5:6:2006,59
1349,33,9:5:2010,1
3260,160,8:11:2010,14
1422,82,19:8:1984,40
4839,117,15:3:1966,6
3420,90,2:11:1973,16
2682,205,29:7:1974,10
753,40,19:1:1977,30
1986,207,14:3:1994,28
3137,79,29:11:1982,51
2200,117,13:10:1941,2
2498,12,1:4:2014,61
1804,95,7:1:1986,41
4511,164,30:12:2001,16
250,214,2:6:2014,31
1834,43,18:7:1964,15
3266,119,26:10:1990,25
3134,184,7:5:1953,11
3085,80,26:11:2015,28
324,92,25:10:2015,19
3007,176,9:4:1990,19
3379,42,20:7:2003,21
4804,31,3:8:1971,19
5073,136,2:1:2018,7
1174,21,12:7:2015,16
3385,220,10:12:2018,21
4280,23,13:9:1980,46
157,99,9:4:2017,8
3165,125,17:4:2012,1
2090,124,15:8:2014,24
2503,127,25:4:1967,1
4269,35,15:3:2010,1
3037,230,16:10:2000,1
3430,120,22:7:1973,26
1956,168,15:6:1979,24
789,149,31:6:1975,16
3204,148,27:7:1994,5
1467,231,3:4:1978,19
1638,13,20:1:2015,0
4352,181,12:11:2015,20
1753,178,9:9:1950,53
36,45,27:2:2018,15
4436,51,11:5:1997,41
3083,197,14:8:2018,51
2938,38,24:8:2017,24
12,5,21:2:2006,5
4332,47,15:5:1941,27
2126,74,24:4:1999,12
1498,63,15:8:1986,31
4222,213,7:9:2004,4
4477,28,3:8:2000,24
3689,99,26:3:2015,1
4901,183,16:12:1956,26
2617,191,11:4:1955,6
4348,220,18:10:2003,31
3922,163,27:8:2000,2
4221,155,17:3:1949,29
3793,84,2:8:1948,15
3324,44,23:2:1989,31
1442,52,17:4:2001,38
4915,183,24:3:2014,17
66,9,23:10:1994,36
1908,154,16:4:2017,41
3700,227,14:9:1926,2
5102,164,28:6:1994,21
2523,92,16:2:2012,26
2308,39,13:2:1973,1
529,113,27:2:1971,9
1770,12,17:3:1986,19
3714,206,8:9:2013,8
5015,127,29:12:1975,31
4476,229,30:11:1937,3
2559,122,30:11:2017,34
1476,47,6:8:1987,4
1534,22,3:5:2013,0
4306,12,6:11:1996,21
3212,77,13:2:2015,19
3614,222,20:12:1980,21
